"","sppr.plot","shannon.div.plot","simp.div.plot","invsimp.div.plot","J.plot","E.plot"
"CW-MM",8,0.927510755253527,0.410071534650659,1.69512077944539,0.446038388991814,0.211890097430674
"CW-OH",12,1.58166704189085,0.710153874826731,3.45010649841257,0.636509641931938,0.287508874867714
"GAS-MM",9,1.43925458124574,0.689811320754717,3.22384428223844,0.655032988476129,0.358204920248716
"LM-MM",11,1.1680936926297,0.503013148283419,2.01212566599302,0.487132906044944,0.182920515090274
"SC-BM-1",10,1.00421457179045,0.523128870707218,2.09700260421099,0.436124847175428,0.209700260421099
"WW-BM",10,0.89043810224297,0.407611468217529,1.68808129521185,0.386712354280526,0.168808129521185
"SC-BM-2",6,1.15253893251392,0.643506649575389,2.80510141019158,0.643244225750052,0.467516901698597
"SG-HH-1",10,1.58713561088547,0.735459061047909,3.7801332525742,0.689284237839706,0.37801332525742
"SG-HH-2",16,1.60188878681103,0.692182384155094,3.24867697144354,0.577759252196977,0.203042310715221
"BA-OH-2",14,1.22532080066319,0.488033448673587,1.95325260490003,0.464302456378174,0.139518043207145
"BA-OH-1",11,0.748250635135217,0.31361914600551,1.45691709519629,0.312044751755151,0.132447008654208
"BA-HH",14,1.9421384356155,0.793812871822607,4.84996327772532,0.735921275305769,0.346425948408951
