"","Plot","ForestType","total.abg","total.carbon.storage"
"1","BA-HH","HH",69140.3574657931,34570.1787328966
"2","BA-OH-1","OH",83685.7818824541,41842.890941227
"3","BA-OH-2","OH",65499.387217238,32749.693608619
"4","CW-MM","MM",99094.532233467,49547.2661167335
"5","CW-OH","OH",89209.9170056521,44604.958502826
"6","GAS-MM","MM",95258.7241950837,47629.3620975418
"7","LM-MM","MM",106804.494020852,53402.2470104258
"8","SC-BM-1","BM",54379.7390207144,27189.8695103572
"9","SC-BM-2","BM",67775.5236118392,33887.7618059196
"10","SG-HH-1","HH",99395.176373038,49697.588186519
"11","SG-HH-2","HH",101844.160230105,50922.0801150526
"12","WW-BM","BM",92398.9146400116,46199.4573200058
