Plot,ACERUB,ACESAC,AMEARB,CARCAR,CARCOR,CORFLO,CRASPP,FAGGRA,FRAAME,FRASPP,JUGNIG,LIRTUL,MAGACU,NYSSYL,OSTVIR,PRUSER,QUEALB,QUEMON,QUERUB,SASALB,TILAME,FRAPEN,TSUCAN,AESGLA,BETALL,ULMAME,CAROVA
Beech_Maple,2,466,0,1,2,0,0,187,1,0,6,173,12,1,1,5,0,0,1,0,6,1,0,0,0,0,0
Hemlock_Hardwood,60,77,0,18,7,0,2,172,0,0,0,11,7,3,9,7,0,5,15,0,2,7,290,2,1,6,0
Mixed_Mesophytic,124,554,0,2,0,0,2,50,3,2,0,64,9,7,1,10,0,0,15,15,0,0,0,0,0,0,0
Oak_Hickory,79,495,9,1,2,1,1,74,0,0,0,0,2,2,18,13,9,6,24,2,1,0,6,0,0,0,16
