Forest.Type,sppr.forest.type,shannon.div.forest.type,simp.div.forest.type,invsimp.div.forest.type,J.forest.type,E.forest.type,total.abg,total.carbon.storage
Beech_Maple,15,1.219299409,0.622695045,2.650376006,0.450249928,0.176691734,214554.1773,107277.0886
Hemlock_Hardwood,19,1.803142019,0.747165757,3.955160452,0.612388992,0.20816634,270379.6941,135189.847
Mixed_Mesophytic,14,1.271722646,0.552287262,2.233575048,0.481885191,0.159541075,301157.7504,150578.8752
Oak_Hickory,19,1.368476501,0.553942958,2.241865741,0.464766467,0.117992934,238395.0861,119197.5431
