"","ForestType","total.abg","total.carbon.storage"
"1","Beech_Maple",214554.177272565,107277.088636283
"2","Hemlock_Hardwood",270379.694068936,135189.847034468
"3","Mixed_Mesophytic",301157.750449402,150578.875224701
"4","Oak_Hickory",238395.086105344,119197.543052672
