"","sppr.forest.type","shannon.div.forest.type","simp.div.forest.type","invsimp.div.forest.type","J.forest.type","E.forest.type"
"Beech_Maple",15,1.21929940934219,0.622695044939691,2.65037600643267,0.450249928471017,0.176691733762178
"Hemlock_Hardwood",19,1.80314201934807,0.747165756683442,3.95516045169547,0.612388992302546,0.208166339562919
"Mixed_Mesophytic",14,1.27172264569865,0.552287262077472,2.23357504778664,0.481885191135295,0.159541074841903
"Oak_Hickory",19,1.3684765011546,0.553942958380028,2.24186574068697,0.464766466833696,0.117992933720367
