Plot,Date,Species,Tag,StemTag,DBH.cm,Code,Notes,StemID,NaturalArea,ForestType,Genus,Sp,Family,DBH Class
CW-MM,18-May,ACERUB,3,1,26.6,L,,3_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,20,1,34.1,"A,X",POM at 1.45m,20_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,30,1,45,L,,30_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
CW-MM,19-May,ACERUB,45,1,33.1,N/A,,45_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,46,1,9.5,L,soft measure used,46_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,19-May,ACERUB,53,1,20.1,N/A,,53_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,54,1,7,N/A,,54_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,20-May,ACERUB,62,1,4,N/A,,62_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,20-May,ACERUB,75,1,17,N/A,,75_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,20-May,ACERUB,78,1,14.6,"L,I",oddly shaped,78_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,20-May,ACERUB,84,1,2.2,N/A,,84_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,22-May,ACERUB,96,1,24.2,I,,96_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,114,1,43.4,N/A,,114_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
CW-MM,22-May,ACERUB,156,1,30.7,N/A,,156_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,162,1,37.4,N/A,,162_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,167,1,10,I,small knot at POM,167_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,22-May,ACERUB,197,1,27.8,I,knots along trunk,197_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,28-May,ACERUB,211,1,2.5,"W,L",soft measure used ,211_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,28-May,ACERUB,230,1,13.4,N/A,,230_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,28-May,ACERUB,243,1,56.8,I,"large open wound on western side, wavy all around",243_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
CW-MM,28-May,ACERUB,248,1,32.8,L,,248_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,28-May,ACERUB,266,1,82,I,"stem splits above POM, swollen at POM, swollen above and below POM",266_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
CW-MM,28-May,ACERUB,283,1,27.4,"A,L,B","POM at 0.9m, knot in way, caused lots of swelling",283_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-OH,1-Jun,ACERUB,302,1,7,N/A,,302_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,306,1,3.1,L,POM at 1.26m,306_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,1-Jun,ACERUB,311,1,6,N/A,,311_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,316,1,9.8,N/A,,316_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,318,1,8.9,L,,318_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,320,1,15.4,"L,W",slight lean,320_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,321,1,13.9,L,slight lean,321_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,322,1,24.8,L,slight lean,322_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,20 to 40
CW-OH,1-Jun,ACERUB,324,1,5.7,L,,324_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,327,1,5.1,L,,327_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,329,1,5,"A,L",POM at 1.24m,329_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,1-Jun,ACERUB,331,1,11,N/A,,331_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,332,1,5.3,L,,332_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,333,1,15,N/A,,333_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,335,1,3.5,W,soft measure used,335_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,1-Jun,ACERUB,338,1,9,L,,338_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,340,1,14.2,L,slight lean,340_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,342,1,4.2,L,,342_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,1-Jun,ACERUB,344,1,2.8,A,POM at 1.28m,344_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,1-Jun,ACERUB,348,1,29.2,N/A,,348_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,20 to 40
CW-OH,1-Jun,ACERUB,351,1,10.9,L,slight lean,351_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,1-Jun,ACERUB,353,1,6.9,L,,353_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,1-Jun,ACERUB,360,1,8.2,N/A,,360_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,2-Jun,ACERUB,361,1,3.1,W,soft measure used,361_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,2-Jun,ACERUB,396,1,45.3,N/A,,396_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,40 to 50
CW-OH,2-Jun,ACERUB,409,1,38.5,N/A,,409_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,20 to 40
CW-OH,2-Jun,ACERUB,412,1,6.9,N/A,,412_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,2-Jun,ACERUB,417,1,3.1,N/A,,417_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,2-Jun,ACERUB,420,1,16.7,N/A,,420_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,2-Jun,ACERUB,434,1,9.9,N/A,,434_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,2-Jun,ACERUB,443,1,2.3,L,,443_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,2-Jun,ACERUB,446,1,5.4,B,,446_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,2-Jun,ACERUB,447,1,4.6,L,"slight lean, tag might fall",447_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,2-Jun,ACERUB,451,1,1.6,W,,451_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,0 to 5
CW-OH,2-Jun,ACERUB,456,1,51.3,I,,456_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,>50
CW-OH,3-Jun,ACERUB,483,1,6.2,"P,X,A","soft measure used, POM at 1.28m",483_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,3-Jun,ACERUB,493,1,8.3,B,,493_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,3-Jun,ACERUB,508,1,12.8,L,,508_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,3-Jun,ACERUB,517,1,13.1,L,,517_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
CW-OH,3-Jun,ACERUB,533,1,50.1,N/A,,533_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,>50
CW-OH,3-Jun,ACERUB,534,1,6.2,A,POM at 1.28m,534_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,5.1 to 10
CW-OH,3-Jun,ACERUB,545,1,11.5,N/A,,545_1,Corning_Woods,Oak_Hickory,Acer,rubrum,Sapindaceae,10 to 20
WW-BM,4-Jun,ACERUB,671,1,78,N/A,also tagged 1288 at foot of tree,671_1,Working_Woods,Beech_Maple,Acer,rubrum,Sapindaceae,>50
GAS-MM,5-Jun,ACERUB,775,1,18.4,N/A,,775_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,776,1,16.7,N/A,,776_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,777,1,25.8,L,slight lean,777_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,5-Jun,ACERUB,780,1,18.6,N/A,,780_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,790,1,29.5,N/A,,790_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,5-Jun,ACERUB,791,1,15.8,N/A,,791_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,796,1,12.5,N/A,,796_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,797,1,7.2,N/A,,797_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,5-Jun,ACERUB,801,1,4,L,,801_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
GAS-MM,5-Jun,ACERUB,804,1,7.8,N/A,,804_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,5-Jun,ACERUB,806,1,35.3,N/A,,806_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,5-Jun,ACERUB,809,1,59.3,N/A,,809_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
GAS-MM,5-Jun,ACERUB,812,1,37.6,N/A,,812_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,5-Jun,ACERUB,813,1,14.5,N/A,,813_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,814,1,10,N/A,,814_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,5-Jun,ACERUB,815,1,42.2,N/A,,815_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
GAS-MM,5-Jun,ACERUB,817,1,27.4,L,,817_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,5-Jun,ACERUB,819,1,18.7,L,slight lean,819_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,5-Jun,ACERUB,821,1,16.8,N/A,,821_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,822,1,8.2,N/A,,822_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,827,1,10.7,N/A,,827_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,841,1,14.1,N/A,,841_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,846,1,20.6,N/A,,846_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,847,1,20.1,N/A,,847_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,849,1,8.8,N/A,,849_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,851,1,16.1,N/A,,851_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,852,1,20.3,N/A,,852_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,854,1,39.3,N/A,,854_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,863,1,8.2,N/A,,863_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,867,1,35.1,N/A,,867_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,868,1,53.2,N/A,,868_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
GAS-MM,11-Jun,ACERUB,869,1,9.1,N/A,,869_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,871,1,35,N/A,,871_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,872,1,13.1,N/A,,872_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,873,1,44.7,N/A,,873_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
GAS-MM,11-Jun,ACERUB,877,1,22.4,M,,877_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,877,2,16.9,"M,L",,877_2,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,880,1,28.1,N/A,large hole below POM,880_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,882,1,25.3,L,,882_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,885,1,22.8,L,dying,885_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,886,1,35.1,I,,886_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,892,1,7.6,N/A,,892_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,893,1,17.2,N/A,,893_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,894,1,25.7,N/A,,894_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,897,1,36.8,N/A,,897_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,11-Jun,ACERUB,902,1,13.7,N/A,,902_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,903,1,16,N/A,,903_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,905,1,9.2,,,905_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,906,1,12.8,,,906_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,910,1,5.9,,,910_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,11-Jun,ACERUB,911,1,16.2,,,911_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,11-Jun,ACERUB,915,1,28,I,,915_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,918,1,6.9,"A,L","POM at 1.28m, slight lean",918_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,920,1,27.5,L,slight lean,920_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,927,1,6.1,N/A,,927_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,928,1,9,"A,L","POM at 1.25m, knots, tag may fall",928_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,929,1,23.5,I,"nearly dead, bark peeling",929_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,935,1,30.5,N/A,,935_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,942,1,27.9,A,"POM at 1.27m, knot",942_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,943,1,38,L,,943_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
GAS-MM,16-Jun,ACERUB,950,1,8.3,"W,L",soft measure used,950_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,951,1,12.7,"W,L",,951_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,16-Jun,ACERUB,953,1,16.1,N/A,,953_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,16-Jun,ACERUB,956,1,7.5,N/A,,956_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,963,1,19,W,soft measure used,963_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,16-Jun,ACERUB,965,1,18.1,N/A,,965_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
GAS-MM,16-Jun,ACERUB,971,1,6.8,W,soft measure used,971_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
GAS-MM,16-Jun,ACERUB,973,1,5.3,L,,973_1,Green_Ash_Swamp (Across from WW),Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
SC-BM-1,24-Jun,ACERUB,1255,1,51.3,B,,1255_1,Stebbins_Core,Beech_Maple,Acer,rubrum,Sapindaceae,>50
LM-MM,25-Jun,ACERUB,1301,1,3.2,W,,1301_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
LM-MM,25-Jun,ACERUB,1302,1,23.7,"L,A",slight lean,1302_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,25-Jun,ACERUB,1321,1,6.8,L,slight lean,1321_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
LM-MM,25-Jun,ACERUB,1325,1,34.9,N/A,,1325_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,25-Jun,ACERUB,1327,1,6.6,"M,L",slight lean,1327_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
LM-MM,25-Jun,ACERUB,1327,2,1.9,M,soft tape,1327_2,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
LM-MM,25-Jun,ACERUB,1338,1,51.8,N/A,,1338_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,25-Jun,ACERUB,1343,1,75,N/A,,1343_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,26-Jun,ACERUB,1350,1,42.3,N/A,,1350_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
LM-MM,26-Jun,ACERUB,1353,1,16.9,N/A,,1353_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
LM-MM,26-Jun,ACERUB,1355,1,72,I,,1355_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,26-Jun,ACERUB,1358,1,15.8,A,"POM at 0.9m, large irregularity at 1.3m",1358_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
LM-MM,26-Jun,ACERUB,1399,1,71.2,"M,A,I,L","bark irregularities, POM = 1.4m",1399_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,26-Jun,ACERUB,1399,2,34,"M,A,I,L","bark irregularities, POM = 1.45m",1399_2,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1424,1,14.9,L,slight lean,1424_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
LM-MM,26-Jun,ACERUB,1426,1,8.4,L,"slight lean, split",1426_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
LM-MM,26-Jun,ACERUB,1431,1,36.9,N/A,,1431_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1433,1,25.7,L,slight lean,1433_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1434,1,12.5,"L,A","POM at 1.21m, knots",1434_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
LM-MM,26-Jun,ACERUB,1446,1,23.5,L,,1446_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1457,1,4.3,N/A,,1457_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
LM-MM,26-Jun,ACERUB,1458,1,2.6,L,,1458_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
LM-MM,26-Jun,ACERUB,1462,1,49,N/A,,1462_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
LM-MM,26-Jun,ACERUB,1466,1,32.5,W,,1466_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1472,1,5,L,,1472_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
LM-MM,26-Jun,ACERUB,1509,1,53.9,L,Fungi indicating dying,1509_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,26-Jun,ACERUB,1510,1,53.2,N/A,,1510_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
LM-MM,26-Jun,ACERUB,1517,1,42.5,N/A,,1517_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
LM-MM,26-Jun,ACERUB,1519,1,48.2,I,trunk is irregular,1519_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
LM-MM,26-Jun,ACERUB,1528,1,38.8,"I,A","weird bark, POM at 1.5m",1528_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
LM-MM,26-Jun,ACERUB,1536,1,82.8,I,slightly irregular shape,1536_1,Little_Mountain,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
